player_name,posicion,equipo,marketValue,pred_var_1d,pred_pct_1d,pred_mv_mañana
Benito,40,Club Atlético Osasuna,595722,-80.90714,-0.01,595641.0928573608
Aguado,20,Real Madrid Club de Fútbol,595376,-80.90714,-0.01,595295.0928573608
Antoniu Roca,30,RCD Espanyol de Barcelona,594982,-80.90714,-0.01,594901.0928573608
A. Nyom,20,Getafe Club de Fútbol SAD,596850,-80.90714,-0.01,596769.0928573608
Diaby,20,Elche Club de Fútbol SAD,595338,-80.90714,-0.01,595257.0928573608
Ramón Martínez,20,Sevilla Fútbol Club SAD,594954,-80.90714,-0.01,594873.0928573608
Yoel Lago,20,Real Club Celta de Vigo SAD,595228,-80.90714,-0.01,595147.0928573608
José José Salinas,20,RCD Espanyol de Barcelona,595947,-80.90714,-0.01,595866.0928573608
Pablo Agudín,40,Real Oviedo SAD,589357,-80.90714,-0.01,589276.0928573608
Morcillo,40,Deportivo Alavés SAD,595386,-80.90714,-0.01,595305.0928573608
Beitia,20,Real Sociedad de Fútbol SAD,594088,-80.90714,-0.01,594007.0928573608
Olaizola,20,Real Club Deportivo Mallorca SAD,594865,-80.90714,-0.01,594784.0928573608
Íñigo Arguibide,20,Club Atlético Osasuna,593146,-80.90714,-0.01,593065.0928573608
Juan Hernández,30,Fútbol Club Barcelona,595491,-80.90714,-0.01,595410.0928573608
Martin Krug,20,Levante Unión Deportiva SAD,595115,-80.90714,-0.01,595034.0928573608
Davinchi,20,Getafe Club de Fútbol SAD,600712,-80.90714,-0.01,600631.0928573608
Thiago Pitarch,30,Real Madrid Club de Fútbol,595290,-80.90714,-0.01,595209.0928573608
Jano,30,Club Atlético de Madrid SAD,595001,-80.90714,-0.01,594920.0928573608
J. Ives Valou,20,Villarreal Club de Fútbol SAD,594990,-80.90714,-0.01,594909.0928573608
Mykyta,40,Getafe Club de Fútbol SAD,595781,-80.90714,-0.01,595700.0928573608
Lass,30,Girona Fútbol Club SAD,596178,-80.90714,-0.01,596097.0928573608
Eder Aller,10,Fútbol Club Barcelona,595781,-80.90714,-0.01,595700.0928573608
F. Redondo,30,Elche Club de Fútbol SAD,599137,-80.90714,-0.01,599056.0928573608
Javi Serrano,30,Club Atlético de Madrid SAD,595754,-80.90714,-0.01,595673.0928573608
Toni Fernández,40,Fútbol Club Barcelona,595162,-80.90714,-0.01,595081.0928573608
Guille Fernández,30,Fútbol Club Barcelona,595170,-80.90714,-0.01,595089.0928573608
Jofre,20,Fútbol Club Barcelona,595272,-80.90714,-0.01,595191.0928573608
Marrero,10,Real Sociedad de Fútbol SAD,595220,-80.90714,-0.01,595139.0928573608
Aritz,20,Real Sociedad de Fútbol SAD,596617,-80.90714,-0.01,596536.0928573608
Conde,10,Villarreal Club de Fútbol SAD,600093,-80.90714,-0.01,600012.0928573608
Zakharyan,30,Real Sociedad de Fútbol SAD,597801,-80.90714,-0.01,597720.0928573608
Cayetano,10,Levante Unión Deportiva SAD,594990,-80.90714,-0.01,594909.0928573608
Carlos Espí,40,Levante Unión Deportiva SAD,595502,-80.90714,-0.01,595421.0928573608
Paco Cortes,40,Levante Unión Deportiva SAD,595416,-80.90714,-0.01,595335.0928573608
Joselu,40,Getafe Club de Fútbol SAD,595077,-80.90714,-0.01,594996.0928573608
Risco,30,Getafe Club de Fútbol SAD,595161,-80.90714,-0.01,595080.0928573608
Isma,20,Getafe Club de Fútbol SAD,596206,-80.90714,-0.01,596125.0928573608
Nianzou,20,Sevilla Fútbol Club SAD,595996,-80.90714,-0.01,595915.0928573608
Kumbulla,20,Real Club Deportivo Mallorca SAD,598733,-80.90714,-0.01,598652.0928573608
Rubo,20,Valencia Club de Fútbol SAD,595077,-80.90714,-0.01,594996.0928573608
Otorbi,40,Valencia Club de Fútbol SAD,595161,-80.90714,-0.01,595080.0928573608
Rubén,10,Villarreal Club de Fútbol SAD,594990,-80.90714,-0.01,594909.0928573608
Pau Navarro,20,Villarreal Club de Fútbol SAD,596504,-80.90714,-0.01,596423.0928573608
Cabanes,40,Villarreal Club de Fútbol SAD,595161,-80.90714,-0.01,595080.0928573608
Toni Lato,20,Real Club Deportivo Mallorca SAD,595589,-80.90714,-0.01,595508.0928573608
Abdón,40,Real Club Deportivo Mallorca SAD,596019,-80.90714,-0.01,595938.0928573608
Lamine Gueye,40,Real Oviedo SAD,595246,-80.90714,-0.01,595165.0928573608
Manu Bueno,30,Sevilla Fútbol Club SAD,595416,-80.90714,-0.01,595335.0928573608
Cervi,40,Real Club Celta de Vigo SAD,595765,-80.90714,-0.01,595684.0928573608
Marco Esteban,20,Real Oviedo SAD,595333,-80.90714,-0.01,595252.0928573608
Ovie Ejaria,40,Real Oviedo SAD,595246,-80.90714,-0.01,595165.0928573608
Omar Falah,20,Real Oviedo SAD,595416,-80.90714,-0.01,595335.0928573608
Samu Becerra,30,Rayo Vallecano de Madrid SAD,595077,-80.90714,-0.01,594996.0928573608
Jozhua Vertrouwd,20,Rayo Vallecano de Madrid SAD,595723,-80.90714,-0.01,595642.0928573608
Rafa Romero,10,Sevilla Fútbol Club SAD,594990,-80.90714,-0.01,594909.0928573608
Arnau,20,Girona Fútbol Club SAD,590992,-80.90714,-0.01,590911.0928573608
Salguero,20,Girona Fútbol Club SAD,590992,-80.90714,-0.01,590911.0928573608
Huseini,20,Levante Unión Deportiva SAD,590992,-80.90714,-0.01,590911.0928573608
Balliu,20,Rayo Vallecano de Madrid SAD,597746,-80.90714,-0.01,597665.0928573608
Trejo,30,Rayo Vallecano de Madrid SAD,598350,-80.90714,-0.01,598269.0928573608
Juan Carlos,10,Girona Fútbol Club SAD,596256,-80.90714,-0.01,596175.0928573608
