player_name,posicion,equipo,marketValue,pred_var_1d,pred_pct_1d,pred_mv_mañana,mv_real_9feb,var_real_api,var_real,var_real_pct,error_abs,error_pct,error_con_signo,pred_sube,real_sube,acierto_direccion
Balliu,2,Rayo Vallecano de Madrid SAD,597746.0,737.9363,0.12,598483.9362792969,597746.0,2218.0,0.0,0.0,737.936279296875,0.12,737.936279296875,True,True,True
Pedrosa,2,Elche Club de Fútbol SAD,596417.0,737.9363,0.12,597154.9362792969,596417.0,2274.0,0.0,0.0,737.936279296875,0.12,737.936279296875,True,True,True
David López,2,Girona Fútbol Club SAD,607128.0,737.9363,0.12,607865.9362792969,595427.0,2315.0,-11701.0,-1.93,12438.936279296875,2.09,12438.936279296875,True,True,True
David López,2,Girona Fútbol Club SAD,607128.0,737.9363,0.12,607865.9362792969,607128.0,1827.0,0.0,0.0,737.936279296875,0.12,737.936279296875,True,True,True
Ibon Sánchez,0,Deportivo Alavés SAD,594593.0,737.9363,0.12,595330.9362792969,594593.0,2350.0,0.0,0.0,737.936279296875,0.12,737.936279296875,True,True,True
Adrián,0,Deportivo Alavés SAD,594593.0,737.9363,0.12,595330.9362792969,595623.0,2307.0,1030.0,0.17,292.063720703125,0.05,-292.063720703125,True,True,True
Guridi,3,Deportivo Alavés SAD,601214.0,737.9363,0.12,601951.9362792969,601214.0,2074.0,0.0,0.0,737.936279296875,0.12,737.936279296875,True,True,True
Yoel Lago,2,Real Club Celta de Vigo SAD,595228.0,737.9363,0.12,595965.9362792969,595228.0,2323.0,0.0,0.0,737.936279296875,0.12,737.936279296875,True,True,True
Oso,2,Sevilla Fútbol Club SAD,598858.0,737.9363,0.12,599595.9362792969,598858.0,2172.0,0.0,0.0,737.936279296875,0.12,737.936279296875,True,True,True
Jordán,3,Sevilla Fútbol Club SAD,596710.0,737.9363,0.12,597447.9362792969,596710.0,2261.0,0.0,0.0,737.936279296875,0.12,737.936279296875,True,True,True
Arnau Tenas,1,Villarreal Club de Fútbol SAD,608879.0,737.9363,0.12,609616.9362792969,608879.0,1754.0,0.0,0.0,737.936279296875,0.12,737.936279296875,True,True,True
Gorosabel,2,Athletic Club,601362.0,737.9363,0.12,602099.9362792969,601362.0,2067.0,0.0,0.0,737.936279296875,0.12,737.936279296875,True,True,True
Juanmi,4,Getafe Club de Fútbol SAD,606576.0,737.9363,0.12,607313.9362792969,606576.0,1850.0,0.0,0.0,737.936279296875,0.12,737.936279296875,True,True,True
Kumbulla,2,Real Club Deportivo Mallorca SAD,598733.0,737.9363,0.12,599470.9362792969,598733.0,2177.0,0.0,0.0,737.936279296875,0.12,737.936279296875,True,True,True
Jofre,4,RCD Espanyol de Barcelona,596333.0,737.9363,0.12,597070.9362792969,596333.0,2277.0,0.0,0.0,737.936279296875,0.12,737.936279296875,True,True,True
Dani Calvo,2,Real Oviedo SAD,600097.0,737.9363,0.12,600834.9362792969,600097.0,2120.0,0.0,0.0,737.936279296875,0.12,737.936279296875,True,True,True
Álex Sancris,4,Getafe Club de Fútbol SAD,599003.0,737.9363,0.12,599740.9362792969,599003.0,2166.0,0.0,0.0,737.936279296875,0.12,737.936279296875,True,True,True
Javi Muñoz,3,Getafe Club de Fútbol SAD,598815.0,737.9363,0.12,599552.9362792969,598815.0,2174.0,0.0,0.0,737.936279296875,0.12,737.936279296875,True,True,True
Letacek,1,Getafe Club de Fútbol SAD,595379.0,737.9363,0.12,596116.9362792969,595379.0,2317.0,0.0,0.0,737.936279296875,0.12,737.936279296875,True,True,True
Protesoni,3,Deportivo Alavés SAD,596871.0,737.9363,0.12,597608.9362792969,596871.0,2255.0,0.0,0.0,737.936279296875,0.12,737.936279296875,True,True,True
Kike Barja,4,Club Atlético Osasuna,595808.0,737.9363,0.12,596545.9362792969,595808.0,2299.0,0.0,0.0,737.936279296875,0.12,737.936279296875,True,True,True
Herrando,2,Club Atlético Osasuna,605973.0,737.9363,0.12,606710.9362792969,605973.0,1875.0,0.0,0.0,737.936279296875,0.12,737.936279296875,True,True,True
Juan Cruz,2,Club Atlético Osasuna,614426.0,737.9363,0.12,615163.9362792969,614426.0,1523.0,0.0,0.0,737.936279296875,0.12,737.936279296875,True,True,True
Stuani,4,Girona Fútbol Club SAD,599307.0,737.9363,0.12,600044.9362792969,599307.0,2153.0,0.0,0.0,737.936279296875,0.12,737.936279296875,True,True,True
Abel Ruiz,4,Girona Fútbol Club SAD,596504.0,737.9363,0.12,597241.9362792969,596504.0,2270.0,0.0,0.0,737.936279296875,0.12,737.936279296875,True,True,True
Krapyvtsov,1,Girona Fútbol Club SAD,595165.0,737.9363,0.12,595902.9362792969,595165.0,2326.0,0.0,0.0,737.936279296875,0.12,737.936279296875,True,True,True
Abdón,4,Real Club Deportivo Mallorca SAD,596019.0,737.9363,0.12,596756.9362792969,596019.0,2290.0,0.0,0.0,737.936279296875,0.12,737.936279296875,True,True,True
Mascarell,3,Real Club Deportivo Mallorca SAD,615902.0,737.9363,0.12,616639.9362792969,615902.0,1462.0,0.0,0.0,737.936279296875,0.12,737.936279296875,True,True,True
Pablo Durán,4,Real Club Celta de Vigo SAD,603963.0,737.9363,0.12,604700.9362792969,603963.0,1959.0,0.0,0.0,737.936279296875,0.12,737.936279296875,True,True,True
Camello,4,Rayo Vallecano de Madrid SAD,598212.0,737.9363,0.12,598949.9362792969,598212.0,2199.0,0.0,0.0,737.936279296875,0.12,737.936279296875,True,True,True
Nteka,4,Rayo Vallecano de Madrid SAD,596321.0,737.9363,0.12,597058.9362792969,596321.0,2278.0,0.0,0.0,737.936279296875,0.12,737.936279296875,True,True,True
Pedro Díaz,3,Rayo Vallecano de Madrid SAD,603468.0,737.9363,0.12,604205.9362792969,603468.0,1980.0,0.0,0.0,737.936279296875,0.12,737.936279296875,True,True,True
Davinchi,2,Getafe Club de Fútbol SAD,600712.0,737.9363,0.12,601449.9362792969,600712.0,2095.0,0.0,0.0,737.936279296875,0.12,737.936279296875,True,True,True
Thiago Pitarch,3,Real Madrid Club de Fútbol,595290.0,737.9363,0.12,596027.9362792969,595290.0,2321.0,0.0,0.0,737.936279296875,0.12,737.936279296875,True,True,True
Adrián,1,Real Betis Balompié SAD,595623.0,737.9363,0.12,596360.9362792969,595623.0,2307.0,0.0,0.0,737.936279296875,0.12,737.936279296875,True,True,True
Zakharyan,3,Real Sociedad de Fútbol SAD,597801.0,737.9363,0.12,598538.9362792969,597801.0,2216.0,0.0,0.0,737.936279296875,0.12,737.936279296875,True,True,True
Odriozola,2,Real Sociedad de Fútbol SAD,596354.0,737.9363,0.12,597091.9362792969,596354.0,2276.0,0.0,0.0,737.936279296875,0.12,737.936279296875,True,True,True
Aihen,2,Real Sociedad de Fútbol SAD,597480.0,737.9363,0.12,598217.9362792969,597480.0,2229.0,0.0,0.0,737.936279296875,0.12,737.936279296875,True,True,True
Aritz,2,Real Sociedad de Fútbol SAD,596617.0,737.9363,0.12,597354.9362792969,596617.0,2265.0,0.0,0.0,737.936279296875,0.12,737.936279296875,True,True,True
Alaba,2,Real Madrid Club de Fútbol,601658.0,737.9363,0.12,602395.9362792969,601658.0,2055.0,0.0,0.0,737.936279296875,0.12,737.936279296875,True,True,True
Prados,3,Athletic Club,596874.0,737.9363,0.12,597611.9362792969,596874.0,2254.0,0.0,0.0,737.936279296875,0.12,737.936279296875,True,True,True
Sow,3,Sevilla Fútbol Club SAD,606481.0,737.9363,0.12,607218.9362792969,606481.0,1854.0,0.0,0.0,737.936279296875,0.12,737.936279296875,True,True,True
Lunin,1,Real Madrid Club de Fútbol,598782.0,737.9363,0.12,599519.9362792969,598782.0,2175.0,0.0,0.0,737.936279296875,0.12,737.936279296875,True,True,True
Mariano,4,Deportivo Alavés SAD,601127.0,737.9363,0.12,601864.9362792969,601127.0,2077.0,0.0,0.0,737.936279296875,0.12,737.936279296875,True,True,True
Fran Pérez,3,Rayo Vallecano de Madrid SAD,607604.0,737.9363,0.12,608341.9362792969,607604.0,1807.0,0.0,0.0,737.936279296875,0.12,737.936279296875,True,True,True
