id,name,position,team_id,market_value,market_variation,date,points,jornada,season
47181,Toni Martínez,4.0,542,1303428.0,-24867.0,2026-01-01,1.0,17.0,2025.0
47225,Brugui,3.0,539,590013.0,2788.0,2026-01-01,,,
47247,David Soria,1.0,546,9394754.0,-142542.0,2026-01-01,2.0,17.0,2025.0
47249,L. Cabrera,2.0,540,17813784.0,231018.0,2026-01-01,5.0,17.0,2025.0
47250,Djené,2.0,546,4756448.0,-84671.0,2026-01-01,0.0,17.0,2025.0
47251,Foulquier,2.0,532,845688.0,-7865.0,2026-01-01,2.0,17.0,2025.0
47256,Miguel Rubio,2.0,540,568526.0,3684.0,2026-01-01,0.0,17.0,2025.0
47258,Arambarri,3.0,546,18796049.0,-173837.0,2026-01-01,1.0,17.0,2025.0
47264,Hugo Duro,4.0,532,5420736.0,18474.0,2026-01-01,8.0,17.0,2025.0
47269,Remiro,1.0,548,6652884.0,-116916.0,2026-01-01,6.0,17.0,2025.0
47270,Unai Simón,1.0,531,14982363.0,-233499.0,2026-01-01,4.0,17.0,2025.0
47273,Yuri,2.0,531,12815455.0,-332515.0,2026-01-01,,,
47276,Lekue,2.0,531,564413.0,3855.0,2026-01-01,2.0,17.0,2025.0
47278,Vivian,2.0,531,19191438.0,-206564.0,2026-01-01,,,
47285,Unai López,3.0,728,5152264.0,-23521.0,2026-01-01,2.0,17.0,2025.0
47291,Guruzeta,4.0,531,1574415.0,-29522.0,2026-01-01,2.0,17.0,2025.0
47294,Iñaki Williams,4.0,531,10039305.0,-15782.0,2026-01-01,2.0,17.0,2025.0
47298,Aritz,2.0,548,558300.0,4110.0,2026-01-01,8.0,17.0,2025.0
47299,Gorosabel,2.0,531,581612.0,3138.0,2026-01-01,-1.0,17.0,2025.0
47301,Le Normand,2.0,530,13467233.0,-188376.0,2026-01-01,1.0,17.0,2025.0
47302,Diego Llorente,2.0,543,601435.0,2312.0,2026-01-01,,,
47303,Aihen,2.0,548,562538.0,3933.0,2026-01-01,0.0,17.0,2025.0
47309,Guevara,3.0,542,562914.0,3917.0,2026-01-01,0.0,17.0,2025.0
47314,Zubeldia,2.0,548,3784587.0,-83726.0,2026-01-01,6.0,17.0,2025.0
47317,Barrenetxea,3.0,548,44186932.0,-1125290.0,2026-01-01,,,
47320,Juanmi,4.0,546,607230.0,2071.0,2026-01-01,2.0,17.0,2025.0
47323,Oyarzabal,4.0,548,58746353.0,1508222.0,2026-01-01,10.0,17.0,2025.0
47329,Pedrosa,2.0,797,557309.0,4151.0,2026-01-01,0.0,17.0,2025.0
47334,David López,2.0,547,585690.0,2968.0,2026-01-01,,,
47336,Darder,3.0,798,11096050.0,63676.0,2026-01-01,2.0,17.0,2025.0
47341,Marc Roca,3.0,543,1124950.0,20998.0,2026-01-01,14.0,17.0,2025.0
47348,Borja Iglesias,4.0,538,14062704.0,-290765.0,2026-01-01,,,
47349,Javi Puado,3.0,540,4895583.0,16189.0,2026-01-01,,,
47353,Sivera,1.0,542,4351155.0,-67113.0,2026-01-01,3.0,17.0,2025.0
47378,Bigas,2.0,797,3461201.0,-22713.0,2026-01-01,15.0,17.0,2025.0
47389,Jordán,3.0,536,558754.0,4091.0,2026-01-01,0.0,17.0,2025.0
47396,Kike García,4.0,540,722682.0,-2740.0,2026-01-01,2.0,17.0,2025.0
47398,Pere Milla,4.0,540,20607403.0,168307.0,2026-01-01,7.0,17.0,2025.0
47399,Cuéllar,1.0,798,552674.0,4344.0,2026-01-01,,,
47400,Lunin,1.0,541,568927.0,3667.0,2026-01-01,0.0,17.0,2025.0
47407,A. Nyom,2.0,546,550690.0,4427.0,2026-01-01,-3.0,17.0,2025.0
47414,Gumbau,3.0,728,558969.0,4082.0,2026-01-01,2.0,17.0,2025.0
47418,Vesga,3.0,531,557243.0,4154.0,2026-01-01,0.0,17.0,2025.0
47427,Iván Villar,1.0,538,554486.0,4269.0,2026-01-01,0.0,17.0,2025.0
47429,David Costas,2.0,718,688041.0,-1296.0,2026-01-01,11.0,17.0,2025.0
47435,Fran Beltrán,3.0,538,577118.0,3326.0,2026-01-01,6.0,17.0,2025.0
47440,Brais Méndez,3.0,548,28256758.0,-269293.0,2026-01-01,3.0,17.0,2025.0
47445,Aspas,4.0,538,4655802.0,-42058.0,2026-01-01,3.0,17.0,2025.0
47448,Aitor Fdez.,1.0,727,555666.0,4219.0,2026-01-01,0.0,17.0,2025.0
47463,Pepelu,3.0,532,2496775.0,-18826.0,2026-01-01,5.0,17.0,2025.0
47467,José Luis Morales,4.0,539,629104.0,1160.0,2026-01-01,0.0,17.0,2025.0
47472,Borja Mayoral,4.0,546,4997824.0,-136118.0,2026-01-01,0.0,17.0,2025.0
47478,Fernando Calero,2.0,540,2205879.0,59104.0,2026-01-01,7.0,17.0,2025.0
47520,Portu,4.0,547,559933.0,4042.0,2026-01-01,,,
47527,Dimitrievski,1.0,532,573583.0,3473.0,2026-01-01,,,
47533,Catena,2.0,727,60095261.0,412342.0,2026-01-01,8.0,17.0,2025.0
47541,Comesaña,3.0,533,35107386.0,246056.0,2026-01-01,-1.0,17.0,2025.0
47543,Álvaro García,3.0,728,19285040.0,-165740.0,2026-01-01,1.0,17.0,2025.0
47547,Álex Moreno,2.0,547,912169.0,-10635.0,2026-01-01,1.0,17.0,2025.0
47557,Trejo,3.0,728,566814.0,3755.0,2026-01-01,0.0,17.0,2025.0
47566,Javi Galán,2.0,727,624442.0,11269.0,2026-01-01,0.0,17.0,2025.0
47574,Moi Gómez,3.0,727,1120970.0,-19335.0,2026-01-01,0.0,17.0,2025.0
47579,Chimy Ávila,4.0,543,566036.0,3787.0,2026-01-01,1.0,17.0,2025.0
47582,Cucho,4.0,543,101991123.0,1073459.0,2026-01-01,16.0,17.0,2025.0
47988,Starfelt,2.0,538,2266066.0,80553.0,2026-01-01,12.0,17.0,2025.0
48372,E. Cömert,2.0,532,555962.0,4207.0,2026-01-01,,,
48465,Filip Ugrinic,3.0,532,587098.0,2910.0,2026-01-01,3.0,17.0,2025.0
48471,R. Vargas,4.0,536,21888838.0,-348664.0,2026-01-01,,,
48555,Charles Pickel,3.0,540,565432.0,3812.0,2026-01-01,,,
50048,Muriqi,4.0,798,28056225.0,248795.0,2026-01-01,6.0,17.0,2025.0
51016,T. Buchanan,3.0,533,21100668.0,-511893.0,2026-01-01,2.0,17.0,2025.0
51530,F. Viñas,4.0,718,605518.0,2142.0,2026-01-01,6.0,17.0,2025.0
57446,Akor Adams,4.0,536,882432.0,-6487.0,2026-01-01,,,
61774,Oskarsson,4.0,548,593088.0,2660.0,2026-01-01,,,
64268,Mojica,2.0,798,11359100.0,-71730.0,2026-01-01,4.0,17.0,2025.0
64309,Manu Sánchez,2.0,539,917555.0,-10859.0,2026-01-01,4.0,17.0,2025.0
66491,Letacek,1.0,546,552221.0,4363.0,2026-01-01,0.0,17.0,2025.0
67939,Aimar Oroz,3.0,727,5412919.0,82640.0,2026-01-01,12.0,17.0,2025.0
67972,Gallagher,3.0,530,1176835.0,-8028.0,2026-01-01,10.0,17.0,2025.0
