nombre_maestro,sugerencia,score
Ilic,Isi,57.14285714285714
J. Berrocal,S. Herrera,57.14285714285714
Jesús R.,Jesús Vázquez,57.14285714285714
Williot,Militão,57.14285714285714
Panach,Davinchi,57.14285714285714
Lass,Lucas Laso,57.14285714285714
Lebarbier,Lemar,57.14285714285714
Sarasa,Carvajal,57.14285714285714
De Las Sias,Lucas Laso,57.14285714285714
Nacho Perez,Fran Pérez,57.14285714285714
Joan Ruiz,Josan,57.14285714285714
Alex Costa,Aleix Febas,57.14285714285714
Juanpe Gil,Juan Carlos,57.14285714285714
Pampin,Raphinha,57.14285714285714
A. Martinez,Toni Martínez,58.33333333333333
Aimar Blázquez,Aimar Oroz,58.33333333333333
Swiderski,Swedberg,58.82352941176471
Javi H.,Javi Galán,58.82352941176471
S. Lino,Antonio S.,58.82352941176471
Mosquera,Foulquier,58.82352941176471
Raspadori,Rashford,58.82352941176471
Guillamón,Giuliano,58.82352941176471
Rego,Remiro,60.0
Bladi,Sadiq,60.0
Peter,Peque,60.0
Uche,Kochen,60.0
Cenk,Catena,60.0
Pelayo,Dela,60.0
Villalibre,Pere Milla,60.0
Gibi,Guridi,60.0
Salhi,Rahim,60.0
Manu G.,G. Mikautadze,60.0
Cheli,Cervi,60.0
Roson,Josan,60.0
Aarón,Arnau,60.0
Paco Cortes,Pablo Campos,60.86956521739131
Martin Krug,Mario Martín,60.86956521739131
David Delgado,Javi Puado,60.86956521739131
Cayetano,Natan,61.53846153846154
Asprilla,Aspas,61.53846153846154
Folgado,Aguado,61.53846153846154
Solomon,Sotelo,61.53846153846154
Rayane,M. Ryan,61.53846153846154
Luengo,Lenglet,61.53846153846154
Fortea,Fornals,61.53846153846154
Roberto,Remiro,61.53846153846154
Adu Ares,Areso,61.53846153846154
Mourad,Mouriño,61.53846153846154
Damian,Mariano,61.53846153846154
A. Alti,Julián A.,62.5
Alderete,Llorente,62.5
Martón,Jon Martín,62.5
M. Santos,M. Ryan,62.5
D. Luna,A. Ounahi,62.5
Monreal,Moncayola,62.5
Ferrer,S. Herrera,62.5
Ballestero,Valles,62.5
A. Sola,J. Toljan,62.5
Adrián Molina,Adrián,63.1578947368421
Mawuli,Mawuli Mensah,63.1578947368421
Karrikaburu,Aramburu,63.1578947368421
Albert,Alberto Reina,63.1578947368421
Jhon Solis,José Salinas,63.63636363636363
Toni Lato,Toni Martínez,63.63636363636363
Marc Jurado,Marc Bernal,63.63636363636363
Javi Navarro,Javi Puado,63.63636363636363
I. Martinez,Iván Martín,63.63636363636363
Miguel Sierra,Miguel Rubio,64.0
Rubo,Rubén,66.66666666666667
Jan Salas,José Salinas,66.66666666666667
Isaac,Isma,66.66666666666667
Óscar Marcos,Marc Roca,66.66666666666667
Beitia,Benito,66.66666666666667
Yassin T.,H. Hassan,66.66666666666667
Hugo Lopez,Diego López,66.66666666666667
Jano,Josan,66.66666666666667
D. Pérez,Fran Pérez,66.66666666666667
Jon De Luis,De Jong,66.66666666666667
Germán,Fermín,66.66666666666667
Morcillo,Mouriño,66.66666666666667
Dro,Dituro,66.66666666666667
Larin,Mariano,66.66666666666667
Rico,Rioja,66.66666666666667
Costa,Samú Costa,66.66666666666667
Molina,Mojica,66.66666666666667
C. Pérez,Fran Pérez,66.66666666666667
Paulino,Giuliano,66.66666666666667
Raba,Alaba,66.66666666666667
Marín,Mariano,66.66666666666667
Risco,Isco,66.66666666666667
Junior,Juanmi,66.66666666666667
Álvaro,Álvaro Núñez,66.66666666666667
Seoane,Sancet,66.66666666666667
Enzo Barrenechea,Barrenetxea,66.66666666666667
R. Brugué,Brugui,66.66666666666667
Gragera,Fraga,66.66666666666667
F. Vieites,F. Viñas,66.66666666666667
Lucas,Lucas Laso,66.66666666666667
A. Marí,A. Matturro,66.66666666666667
Pau Victor,Víctor Parada,69.56521739130434
Cardoso,Fábio Cardoso,70.0
Carlos V.,Carlos Espí,70.0
William,Nico Williams,70.0
Alex Moreno,M. Moreno,70.0
M. Román,Leo Román,70.58823529411764
Olaizola,Odriozola,70.58823529411764
Pedroarena,Pedrosa,70.58823529411764
Ferran,Herrando,71.42857142857143
Miguel,Mingueza,71.42857142857143
Bryan,Bryan Gil,71.42857142857143
Huseini,Huijsen,71.42857142857143
Montero,Moleiro,71.42857142857143
Pomares,Paredes,71.42857142857143
Marcos Llorente,Marcos Alonso,71.42857142857143
Lamine Gueye,Pape Gueye,72.72727272727273
Puado,Prados,72.72727272727273
Tejero,Trejo,72.72727272727273
Álex Cardero,Álex Balde,72.72727272727273
Barry,Bartra,72.72727272727273
Gueye,Guedes,72.72727272727273
Mauro,Marcão,72.72727272727273
Guille Fernández,Toni Fernández,73.33333333333334
S. Lozano,Pol Lozano,73.6842105263158
Fran González,Alfon González,74.07407407407408
Ramón Martínez,Toni Martínez,74.07407407407408
Javi Serrano,Nico Serrano,75.0
H. González,Nico González,75.0
Diaby,Diakhaby,76.92307692307692
Maroan,Mariano,76.92307692307692
Almada,Almeida,76.92307692307692
N. Mendy,Mendy,76.92307692307692
L. Milla,Luis Milla,77.77777777777779
Cabanes,Pau Cabanes,77.77777777777779
Rafa Romero,Isaac Romero,78.26086956521739
Juan Hernández,Manu Fernández,78.57142857142857
J. Benito,Benito,80.0
Pablo López,Pau López,80.0
Herrera,S. Herrera,82.35294117647058
José José Salinas,José Salinas,82.75862068965517
Sierra,Sivera,83.33333333333334
Dani Rodríguez,Javi Rodríguez,85.71428571428572
Cardona,Carmona,85.71428571428572
Cabello,Camello,85.71428571428572
G. G. Mikautadze,G. Mikautadze,89.65517241379311
Unai Lopez,Unai López,90.0
Manu Schez,Manu Sánchez,90.9090909090909
Pablo Agudín,Pablo Agudin,91.66666666666666
